song,artist,uri
Breathe Me,Sia,spotify:track:7jqzZyJJLrpkRFYGpkqSK6
Viimeisen kerran,Mikael Gabriel,spotify:track:0mvQHETM9iteQnMJVSE4UO
Young And Beautiful,Lana Del Rey,spotify:track:5UzTtUZper0CphnqZYvsIu
Sun särkyä anna mä en,Johanna Kurkela,spotify:track:5lsHYb8VxfWC8sbh9shDNI
Invisible,Skylar Grey,spotify:track:6bpK4LLYNuSkXnvi91Rtu4
Skinny Love,Birdy,spotify:track:4RL77hMWUq35NYnPLXBpih
Complicated,Avril Lavigne,spotify:track:5xEM5hIgJ1jjgcEBfpkt2F
Turning Tables,Adele,spotify:track:0X1FYVkgy7Tfw79cY3C7lx
Next to Me,Otto Knows,spotify:track:6ZixfeFT8V0Nle1rMZAekY
You,Galantis,spotify:track:6FLNeNUhazLGqiScpmcmP5
Where Are Ü Now (with Justin Bieber),Jack Ü,spotify:track:66hayvUbTotekKU3H4ta1f
Take Ü There (feat. Kiesza),Jack Ü,spotify:track:2RpKh7kXSdO8NLrW9VQ46p
Stole the Show,Kygo,spotify:track:4iZPNYqzI2L0uwuUKun7Aa
Need You Right Now (feat. Mike Tompkins),Bethany Mota,spotify:track:3iftD7fIFcjnh24O2NfvLI
Old Thing Back (feat. Ja Rule and Ralph Tresvant),Matoma,spotify:track:6HTJZ0TQJVMSKkUGzAOe2h
I'm Gonna Show You Crazy,Bebe Rexha,spotify:track:5LtNBCM2ve0SxP0dlRVvMu
Samsara 2015,Tungevaag,spotify:track:5tZeGPDLhJqxJES1RL5RTb
Firestone,Kygo,spotify:track:2sNvitW3TxiTeC9xT9f2ZZ
Freedom,AFROJACK,spotify:track:1HInCBFnnRFfr6NuK70Bap
Born to Make You Happy,Britney Spears,spotify:track:0B1wjAs2UKxKw80zTfjJXU
Judas,Lady Gaga,spotify:track:4yQmDtjax2Ye9wY8EPAO1x
Alejandro,Lady Gaga,spotify:track:44XBLYMVEt5vJcb5qXfQ7V
LoveGame,Lady Gaga,spotify:track:0dIQM8VB2QkE2t9FNWBVFs
Starstruck,Lady Gaga,spotify:track:5JdhyMlCbplg7fRbD2dZDw
This Is How We Do,Katy Perry,spotify:track:1Qqn2zEWaurso48M5YYI4G
Dark Horse,Katy Perry,spotify:track:3dcnygRsyW2U390tK79Ck5
Teenage Dream,Katy Perry,spotify:track:55qBw1900pZKfXJ6Q9A2Lc
Part Of Me,Katy Perry,spotify:track:1nZzRJbFvCEct3uzu04ZoL
Wide Awake,Katy Perry,spotify:track:5JLv62qFIS1DR3zGEcApRt
Dark Side,Kelly Clarkson,spotify:track:2VFMVOLcDNoknXL2ILhdpp
Smile,Avril Lavigne,spotify:track:6DC2lFphCOFtzm9SDYIlBX
Hot,Avril Lavigne,spotify:track:6z7fZRrQfOH3ZjWEkC4QhC
F**kin' Perfect,P!nk,spotify:track:4SEZthmPtszZPaktPLRX6J
Cheers (Drink To That),Rihanna,spotify:track:5Lm8wha7kmEuqyjJ237HNM
