song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,uri,id,cluster
Where Is the Love (You Promised Me),Jack Sass Band,0.679,0.856,5.0,-7.822,1.0,0.134,0.518,0.0,0.57,0.555,104.335,175253.0,4.0,spotify:track:0W7MaHMkt6hAvd3YZGaUQn,0W7MaHMkt6hAvd3YZGaUQn,11
Driving Hyperreality,Stargate,0.409,0.635,9.0,-11.949,0.0,0.0339,0.695,0.869,0.0911,0.633,164.245,331703.0,4.0,spotify:track:2RrQRqUulQvdImAn2faJR9,2RrQRqUulQvdImAn2faJR9,5
Aria,Placebo,0.539,0.423,7.0,-12.025,0.0,0.0347,0.559,0.294,0.292,0.408,104.25,299067.0,4.0,spotify:track:32YQ2h74dJUrhtu0xZshOh,32YQ2h74dJUrhtu0xZshOh,10
Capoeira na vila,Ensemble Amaro de Souza,0.805,0.65,5.0,-16.846,0.0,0.128,0.454,0.000622,0.235,0.855,101.841,260553.0,4.0,spotify:track:5OlZuVgXKzYj90qcQQjBDg,5OlZuVgXKzYj90qcQQjBDg,2
Juana y Rosalía,Finis Africae,0.666,0.738,1.0,-14.392,1.0,0.029,0.474,0.592,0.0388,0.921,129.737,129307.0,4.0,spotify:track:39difYXr7mFJZfuQQ9OPkc,39difYXr7mFJZfuQQ9OPkc,8
Banteay Srey,Carl Stone,0.105,0.157,8.0,-20.098,1.0,0.0369,0.981,0.905,0.107,0.0873,88.594,849239.0,4.0,spotify:track:5qiE3RJ0UPLS0QXquBv5aT,5qiE3RJ0UPLS0QXquBv5aT,7
Bowls,Caribou,0.68,0.718,4.0,-8.746,0.0,0.0535,0.00811,0.867,0.112,0.761,120.003,381307.0,4.0,spotify:track:6WIIoR52relQs6HLi5ceEh,6WIIoR52relQs6HLi5ceEh,5
A Gira,Trio Ternura,0.745,0.659,6.0,-8.882,1.0,0.0355,0.373,0.0,0.0891,0.962,108.322,183054.0,4.0,spotify:track:70mpYOq7kaEVOZD6IIJAaw,70mpYOq7kaEVOZD6IIJAaw,11
Dance of Magic,Norman Connors,0.279,0.794,7.0,-10.353,1.0,0.113,0.00835,0.137,0.166,0.327,81.646,1252440.0,4.0,spotify:track:7odSRO57mDig92r393tWRO,7odSRO57mDig92r393tWRO,3
A Spectacle,CAN,0.813,0.789,11.0,-10.525,0.0,0.0685,0.0389,0.139,0.324,0.815,122.95,352213.0,4.0,spotify:track:2Pkuu0BTyEV2GkrJkkgCRI,2Pkuu0BTyEV2GkrJkkgCRI,1
East,Billy Paul,0.434,0.835,11.0,-7.723,0.0,0.0483,0.0744,0.000247,0.54,0.716,106.628,387427.0,4.0,spotify:track:7czybjNI9bQw8DvdmOdH37,7czybjNI9bQw8DvdmOdH37,1
"Saat Samundar Paar, Pt. 1",Udit Narayan,0.414,0.805,8.0,-7.424,0.0,0.0762,0.356,0.000665,0.209,0.821,133.291,397201.0,4.0,spotify:track:1IgaGBX8ZvqBBwYMJgDg4E,1IgaGBX8ZvqBBwYMJgDg4E,1
"C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk)",Wu-Tang Clan,0.479,0.549,11.0,-10.551,0.0,0.373,0.57,0.0235,0.127,0.576,180.985,252187.0,4.0,spotify:track:119c93MHjrDLJTApCVGpvx,119c93MHjrDLJTApCVGpvx,1
Interlude,J Dilla,0.619,0.403,10.0,-11.212,1.0,0.133,0.31,0.0655,0.302,0.594,83.68,49427.0,4.0,spotify:track:193UxmgOd7yIBGO0dtD2uv,193UxmgOd7yIBGO0dtD2uv,11
It's A Crime - Caribou Mix,Virgo Four,0.851,0.608,3.0,-10.488,0.0,0.0538,0.00303,0.862,0.132,0.667,125.187,496083.0,4.0,spotify:track:6FS65XvXouBWOgU2igJcjo,6FS65XvXouBWOgU2igJcjo,5
Mechanical Disco Heart,Tevo Howard,0.801,0.99,10.0,-6.234,0.0,0.0604,0.00583,0.901,0.0846,0.64,123.983,381000.0,4.0,spotify:track:2fH6xwLT6ODRxoNY1uHCi5,2fH6xwLT6ODRxoNY1uHCi5,5
"You Know, You Know",John McLaughlin,0.481,0.204,9.0,-20.868,1.0,0.0691,0.229,0.688,0.11,0.133,136.696,307400.0,4.0,spotify:track:0KBjFrKkWhJMjdLX1wBgzg,0KBjFrKkWhJMjdLX1wBgzg,8
Enthusiasm,Brother Ah,0.616,0.714,4.0,-9.395,0.0,0.0368,0.654,0.911,0.105,0.821,136.322,302176.0,4.0,spotify:track:0XVj9G763agCozuS0d2mSn,0XVj9G763agCozuS0d2mSn,5
Extraterrestrial Search Contact Tones,George Semper,0.488,0.182,11.0,-30.615,0.0,0.0499,0.992,0.803,0.122,0.576,88.609,67489.0,3.0,spotify:track:1NXVkb8vl2n1eL19Kbw4Av,1NXVkb8vl2n1eL19Kbw4Av,12
Both Sides Now,Joni Mitchell,0.623,0.156,6.0,-15.098,1.0,0.0308,0.912,0.0,0.141,0.329,97.235,274560.0,4.0,spotify:track:3NW1YMA8kfNVTzGJCGBS8m,3NW1YMA8kfNVTzGJCGBS8m,4
He,Jai Paul,0.743,0.441,11.0,-11.169,1.0,0.0898,0.514,0.00524,0.309,0.465,95.024,268000.0,4.0,spotify:track:6ysRK6One7O5GiRVvrs0x1,6ysRK6One7O5GiRVvrs0x1,3
jasmine - demo,Jai Paul,0.685,0.297,10.0,-9.694,0.0,0.0834,0.783,0.924,0.118,0.233,89.997,253080.0,4.0,spotify:track:2FDVRMuNMw1pz4d03zyrtQ,2FDVRMuNMw1pz4d03zyrtQ,12
Zion Wolf Theme - Unfinished,Jai Paul,0.46,0.662,11.0,-9.814,0.0,0.548,0.376,0.0298,0.118,0.547,174.036,187613.0,4.0,spotify:track:6KQB9mDc4gNT5mEebiKq7R,6KQB9mDc4gNT5mEebiKq7R,1
Jacknuggeted,Caribou,0.451,0.743,7.0,-7.916,1.0,0.0431,0.621,0.651,0.235,0.184,147.592,209227.0,4.0,spotify:track:4mOWso6Y57ClifhVit5IFE,4mOWso6Y57ClifhVit5IFE,8
Santa Cruz Mountains,Eddie Callahan,0.406,0.655,10.0,-8.338,1.0,0.0287,0.0445,0.048,0.169,0.622,80.708,217107.0,4.0,spotify:track:135g8zSiXUO7AXARXo3BX5,135g8zSiXUO7AXARXo3BX5,11
The More I Get the More I Want,Lorraine Johnson,0.786,0.686,11.0,-9.776,1.0,0.0696,0.125,0.0922,0.109,0.802,129.856,360813.0,4.0,spotify:track:646oiuVTJJpfUJlprBSKIk,646oiuVTJJpfUJlprBSKIk,11
Four Pieces for Harp - Produced,Lou Harrison,0.459,0.282,4.0,-25.237,0.0,0.072,0.976,0.949,0.0954,0.32,139.897,143867.0,4.0,spotify:track:2PpEFsJRVpGAIdscHcukwq,2PpEFsJRVpGAIdscHcukwq,12
Les Fleurs,Minnie Riperton,0.437,0.525,8.0,-8.074,1.0,0.0497,0.767,4.16e-05,0.25,0.478,152.469,196682.0,4.0,spotify:track:5ZBZSepIdSYbPaTSZLvZBU,5ZBZSepIdSYbPaTSZLvZBU,4
You Can Be a Star,Luther Davis Group,0.724,0.46,9.0,-12.803,0.0,0.0853,0.593,0.0387,0.145,0.751,130.536,277333.0,4.0,spotify:track:0xseeVku3GTzNeFvr7rQHB,0xseeVku3GTzNeFvr7rQHB,10
Yermande (Prophet 5 Mix) [with Mbene Diatta Seck],Mark Ernestus’ Ndagga Rhythm Force,0.593,0.757,8.0,-16.858,1.0,0.0923,0.0751,0.861,0.0753,0.965,146.456,368921.0,4.0,spotify:track:7Bwgkp4BG8jwH2gTbYsZ7w,7Bwgkp4BG8jwH2gTbYsZ7w,8
Brothers and Sisters,Milton Wright,0.67,0.787,0.0,-8.025,1.0,0.0496,0.0432,1.68e-06,0.115,0.61,128.691,196360.0,4.0,spotify:track:7esHrmVGh5IHSwaXORzPyI,7esHrmVGh5IHSwaXORzPyI,9
Metropolis,Adam F,0.452,0.83,1.0,-3.958,1.0,0.156,0.0112,0.748,0.327,0.164,166.673,391240.0,4.0,spotify:track:4vISmURXesRjsEeuVtVSRh,4vISmURXesRjsEeuVtVSRh,8
Like A Child - Carl Craig Remix,Junior Boys,0.8,0.741,0.0,-11.574,1.0,0.0764,0.00619,0.618,0.0864,0.752,126.991,628080.0,4.0,spotify:track:2JhPZERcmnMCtR4K7yMKLc,2JhPZERcmnMCtR4K7yMKLc,8
Melody Day,Caribou,0.422,0.839,8.0,-6.197,0.0,0.0368,0.0145,0.00401,0.151,0.497,138.023,251067.0,4.0,spotify:track:1jbONPIBVEpMCf9A1mVRLG,1jbONPIBVEpMCf9A1mVRLG,1
Adimiz Miskindir Bizim,Mazhar Ve Fuat,0.529,0.691,1.0,-5.457,1.0,0.0255,0.173,0.00814,0.106,0.827,107.007,325320.0,4.0,spotify:track:4bxSoFQl2ExbgPLSj24UDH,4bxSoFQl2ExbgPLSj24UDH,9
The Brain of Oskar Panizza,Michael Bundt,0.571,0.84,5.0,-12.471,1.0,0.119,0.0897,0.838,0.357,0.351,120.946,584490.0,4.0,spotify:track:78qRyWuO8hkKqKKEBJVC9n,78qRyWuO8hkKqKKEBJVC9n,8
Hang on in There,Mike James Kirkland,0.372,0.596,5.0,-10.71,0.0,0.0509,0.673,0.00953,0.13,0.831,80.794,537200.0,4.0,spotify:track:3AgBM3b3OVOn1OLNr7gr7h,3AgBM3b3OVOn1OLNr7gr7h,10
Will to Love - 2016 Remaster,Neil Young,0.541,0.27,9.0,-15.845,0.0,0.0384,0.861,0.00569,0.0999,0.345,119.959,430573.0,4.0,spotify:track:7nhLJrMf82o1NcQqaT9tBr,7nhLJrMf82o1NcQqaT9tBr,10
Found Out,Caribou,0.695,0.832,0.0,-6.986,1.0,0.105,0.125,2.97e-05,0.083,0.179,114.008,198880.0,4.0,spotify:track:39xoLh1KrYRknPZLrbmwqA,39xoLh1KrYRknPZLrbmwqA,0
Dream Baby Dream (Four Tet remix),Neneh Cherry & The Thing,0.808,0.484,10.0,-10.272,0.0,0.0993,0.00943,0.756,0.115,0.686,126.971,525320.0,4.0,spotify:track:2Qa9lysWvMsfqwu4kiOdG0,2Qa9lysWvMsfqwu4kiOdG0,5
Frisco Disco,The New X-Perience,0.701,0.838,4.0,-12.292,1.0,0.0658,0.0413,0.618,0.388,0.7,126.654,372000.0,4.0,spotify:track:3opkLPQzCx4jgDsEdcoYpj,3opkLPQzCx4jgDsEdcoYpj,8
