danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.443,0.994,1,-3.059,1,0.115,4.65e-05,0.0,0.441,0.224,123.003,audio_features,0mGefmMPY0MsG2fyOztKml,spotify:track:0mGefmMPY0MsG2fyOztKml,https://api.spotify.com/v1/tracks/0mGefmMPY0MsG2fyOztKml,https://api.spotify.com/v1/audio-analysis/0mGefmMPY0MsG2fyOztKml,163080,3
0.359,0.862,9,-4.172,1,0.0369,0.00288,0.131,0.253,0.288,166.177,audio_features,72IYthveqVwcctA5yrGNKL,spotify:track:72IYthveqVwcctA5yrGNKL,https://api.spotify.com/v1/tracks/72IYthveqVwcctA5yrGNKL,https://api.spotify.com/v1/audio-analysis/72IYthveqVwcctA5yrGNKL,214173,4
0.45,0.577,3,-7.787,1,0.035,0.138,9.56e-06,0.153,0.588,118.964,audio_features,0LrG37DcJCFbK8UuKhhCGB,spotify:track:0LrG37DcJCFbK8UuKhhCGB,https://api.spotify.com/v1/tracks/0LrG37DcJCFbK8UuKhhCGB,https://api.spotify.com/v1/audio-analysis/0LrG37DcJCFbK8UuKhhCGB,159907,4
0.681,0.817,2,-5.532,0,0.0303,0.154,0.0,0.143,0.486,123.488,audio_features,4LqWGyObfPHwYVTzMSpZsA,spotify:track:4LqWGyObfPHwYVTzMSpZsA,https://api.spotify.com/v1/tracks/4LqWGyObfPHwYVTzMSpZsA,https://api.spotify.com/v1/audio-analysis/4LqWGyObfPHwYVTzMSpZsA,143947,4
0.508,0.877,0,-5.416,1,0.0275,0.0217,5.07e-05,0.124,0.444,149.015,audio_features,2CcpyG2gyFmmlaIE0sO27o,spotify:track:2CcpyG2gyFmmlaIE0sO27o,https://api.spotify.com/v1/tracks/2CcpyG2gyFmmlaIE0sO27o,https://api.spotify.com/v1/audio-analysis/2CcpyG2gyFmmlaIE0sO27o,217947,4
0.595,0.544,0,-7.625,1,0.0262,0.073,0.0,0.0858,0.209,134.132,audio_features,4NGPmvg2XygCfwlGQpzASW,spotify:track:4NGPmvg2XygCfwlGQpzASW,https://api.spotify.com/v1/tracks/4NGPmvg2XygCfwlGQpzASW,https://api.spotify.com/v1/audio-analysis/4NGPmvg2XygCfwlGQpzASW,149547,4
0.453,0.587,7,-8.035,1,0.0327,0.0428,0.0,0.119,0.455,129.924,audio_features,7FCwiuWa5tvFc73c13fBJ2,spotify:track:7FCwiuWa5tvFc73c13fBJ2,https://api.spotify.com/v1/tracks/7FCwiuWa5tvFc73c13fBJ2,https://api.spotify.com/v1/audio-analysis/7FCwiuWa5tvFc73c13fBJ2,235253,4
0.382,0.302,2,-10.862,1,0.0331,0.0285,0.000145,0.111,0.256,135.076,audio_features,7LHXqGF5LWLHoBCiEOvq6x,spotify:track:7LHXqGF5LWLHoBCiEOvq6x,https://api.spotify.com/v1/tracks/7LHXqGF5LWLHoBCiEOvq6x,https://api.spotify.com/v1/audio-analysis/7LHXqGF5LWLHoBCiEOvq6x,267840,4
0.581,0.886,2,-4.793,0,0.0331,0.0113,0.0,0.359,0.395,96.992,audio_features,25ACAWFEyfNtAXgm8ykhlK,spotify:track:25ACAWFEyfNtAXgm8ykhlK,https://api.spotify.com/v1/tracks/25ACAWFEyfNtAXgm8ykhlK,https://api.spotify.com/v1/audio-analysis/25ACAWFEyfNtAXgm8ykhlK,183187,4
0.417,0.973,5,-3.746,1,0.103,0.000177,0.0,0.354,0.472,156.041,audio_features,2pxv6lQNPkh3pxCUu3kPE2,spotify:track:2pxv6lQNPkh3pxCUu3kPE2,https://api.spotify.com/v1/tracks/2pxv6lQNPkh3pxCUu3kPE2,https://api.spotify.com/v1/audio-analysis/2pxv6lQNPkh3pxCUu3kPE2,184920,3
