danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,0
0.568,0.891,4.0,-4.695,0.0,0.038,0.0317,0.0,0.0566,0.312,141.932,audio_features,4DnEM1uVd8g23jefPmMpzX,spotify:track:4DnEM1uVd8g23jefPmMpzX,https://api.spotify.com/v1/tracks/4DnEM1uVd8g23jefPmMpzX,https://api.spotify.com/v1/audio-analysis/4DnEM1uVd8g23jefPmMpzX,228706.0,4.0,
0.765,0.767,6.0,-5.348,0.0,0.0519,0.0109,0.0,0.212,0.671,126.056,audio_features,1JHl9grJxQWKY8eAhnzXJ6,spotify:track:1JHl9grJxQWKY8eAhnzXJ6,https://api.spotify.com/v1/tracks/1JHl9grJxQWKY8eAhnzXJ6,https://api.spotify.com/v1/audio-analysis/1JHl9grJxQWKY8eAhnzXJ6,190039.0,4.0,
0.628,0.826,5.0,-4.138,1.0,0.0424,0.212,0.0,0.15,0.703,104.988,audio_features,1v0aDPcrSR1ZNzV5tq4OZY,spotify:track:1v0aDPcrSR1ZNzV5tq4OZY,https://api.spotify.com/v1/tracks/1v0aDPcrSR1ZNzV5tq4OZY,https://api.spotify.com/v1/audio-analysis/1v0aDPcrSR1ZNzV5tq4OZY,197625.0,4.0,
0.486,0.739,2.0,-2.714,0.0,0.0255,0.00465,0.0,0.0428,0.274,93.984,audio_features,21AHQlJa5Q0s1Jx2PeulUD,spotify:track:21AHQlJa5Q0s1Jx2PeulUD,https://api.spotify.com/v1/tracks/21AHQlJa5Q0s1Jx2PeulUD,https://api.spotify.com/v1/audio-analysis/21AHQlJa5Q0s1Jx2PeulUD,199187.0,4.0,
0.359,0.805,9.0,-2.397,1.0,0.0359,0.105,0.00192,0.172,0.379,84.927,audio_features,28OBjsObwOY6JY86C2dalp,spotify:track:28OBjsObwOY6JY86C2dalp,https://api.spotify.com/v1/tracks/28OBjsObwOY6JY86C2dalp,https://api.spotify.com/v1/audio-analysis/28OBjsObwOY6JY86C2dalp,185609.0,4.0,
0.58,0.707,7.0,-7.355,0.0,0.0363,0.0187,0.014,0.034,0.156,116.949,audio_features,2YxM5vNyhtf7J9PJO1chJ2,spotify:track:2YxM5vNyhtf7J9PJO1chJ2,https://api.spotify.com/v1/tracks/2YxM5vNyhtf7J9PJO1chJ2,https://api.spotify.com/v1/audio-analysis/2YxM5vNyhtf7J9PJO1chJ2,217440.0,4.0,
0.467,0.565,7.0,-6.732,1.0,0.0403,0.00411,0.00475,0.175,0.522,184.014,audio_features,0iHbzcv3YmX9Y6mERNOqVt,spotify:track:0iHbzcv3YmX9Y6mERNOqVt,https://api.spotify.com/v1/tracks/0iHbzcv3YmX9Y6mERNOqVt,https://api.spotify.com/v1/audio-analysis/0iHbzcv3YmX9Y6mERNOqVt,207507.0,4.0,
0.558,0.642,5.0,-5.206,0.0,0.0321,7.19e-05,0.00746,0.201,0.482,99.977,audio_features,0UPsdEgJx6ypkfFUxD3ZHh,spotify:track:0UPsdEgJx6ypkfFUxD3ZHh,https://api.spotify.com/v1/tracks/0UPsdEgJx6ypkfFUxD3ZHh,https://api.spotify.com/v1/audio-analysis/0UPsdEgJx6ypkfFUxD3ZHh,258187.0,4.0,
0.78,0.716,6.0,-4.551,0.0,0.0439,0.0489,5.92e-06,0.0704,0.362,105.017,audio_features,70Cp0ukCMyWeJML77NGERU,spotify:track:70Cp0ukCMyWeJML77NGERU,https://api.spotify.com/v1/tracks/70Cp0ukCMyWeJML77NGERU,https://api.spotify.com/v1/audio-analysis/70Cp0ukCMyWeJML77NGERU,253680.0,4.0,
0.359,0.284,2.0,-15.414,0.0,0.0357,0.395,0.795,0.118,0.0393,104.943,audio_features,7rv2OmWaCQwHKCavHYWlt6,spotify:track:7rv2OmWaCQwHKCavHYWlt6,https://api.spotify.com/v1/tracks/7rv2OmWaCQwHKCavHYWlt6,https://api.spotify.com/v1/audio-analysis/7rv2OmWaCQwHKCavHYWlt6,280000.0,4.0,
