danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.467,0.29,5,-17.238,0,0.0264,0.137,0.502,0.195,0.0838,106.515,audio_features,0BQcj5GUvonO9byni0bEuu,spotify:track:0BQcj5GUvonO9byni0bEuu,https://api.spotify.com/v1/tracks/0BQcj5GUvonO9byni0bEuu,https://api.spotify.com/v1/audio-analysis/0BQcj5GUvonO9byni0bEuu,800040,4
0.0914,0.151,2,-19.404,1,0.0461,0.946,0.868,0.0976,0.028,85.588,audio_features,6TMKeISSvlKSMRnPaq0ziP,spotify:track:6TMKeISSvlKSMRnPaq0ziP,https://api.spotify.com/v1/tracks/6TMKeISSvlKSMRnPaq0ziP,https://api.spotify.com/v1/audio-analysis/6TMKeISSvlKSMRnPaq0ziP,1197227,4
0.209,0.0815,5,-31.702,1,0.0408,0.973,0.938,0.105,0.0672,95.205,audio_features,10SeyQmuBIVJmbZYYJs07W,spotify:track:10SeyQmuBIVJmbZYYJs07W,https://api.spotify.com/v1/tracks/10SeyQmuBIVJmbZYYJs07W,https://api.spotify.com/v1/audio-analysis/10SeyQmuBIVJmbZYYJs07W,3815787,5
0.465,0.473,10,-16.467,0,0.029,0.884,0.954,0.0928,0.0734,109.972,audio_features,0EclmjRuVEVytDKJyz6n6J,spotify:track:0EclmjRuVEVytDKJyz6n6J,https://api.spotify.com/v1/tracks/0EclmjRuVEVytDKJyz6n6J,https://api.spotify.com/v1/audio-analysis/0EclmjRuVEVytDKJyz6n6J,781213,4
0.21,0.195,4,-25.202,0,0.0648,0.963,0.909,0.0651,0.0473,132.134,audio_features,74RL6Uqee1KoMBGQULmdeE,spotify:track:74RL6Uqee1KoMBGQULmdeE,https://api.spotify.com/v1/tracks/74RL6Uqee1KoMBGQULmdeE,https://api.spotify.com/v1/audio-analysis/74RL6Uqee1KoMBGQULmdeE,910000,4
0.204,0.354,3,-18.811,1,0.0458,0.945,0.876,0.116,0.0373,85.497,audio_features,3GgSZWI0IFZeOGLTMPPYEp,spotify:track:3GgSZWI0IFZeOGLTMPPYEp,https://api.spotify.com/v1/tracks/3GgSZWI0IFZeOGLTMPPYEp,https://api.spotify.com/v1/audio-analysis/3GgSZWI0IFZeOGLTMPPYEp,805173,3
0.088,0.293,1,-16.875,0,0.047,0.916,0.943,0.109,0.031,67.582,audio_features,0CqZmWXmRdocvpvFUeYpv7,spotify:track:0CqZmWXmRdocvpvFUeYpv7,https://api.spotify.com/v1/tracks/0CqZmWXmRdocvpvFUeYpv7,https://api.spotify.com/v1/audio-analysis/0CqZmWXmRdocvpvFUeYpv7,920833,4
0.112,0.177,2,-16.815,1,0.0463,0.456,0.9,0.0968,0.0256,72.486,audio_features,72nBHcM5RRyoPiIC1a6OPj,spotify:track:72nBHcM5RRyoPiIC1a6OPj,https://api.spotify.com/v1/tracks/72nBHcM5RRyoPiIC1a6OPj,https://api.spotify.com/v1/audio-analysis/72nBHcM5RRyoPiIC1a6OPj,1305600,4
0.14,0.0925,2,-22.711,1,0.0466,0.376,0.942,0.292,0.0336,140.441,audio_features,7FYbiwCEaxSEp2iAeteqUJ,spotify:track:7FYbiwCEaxSEp2iAeteqUJ,https://api.spotify.com/v1/tracks/7FYbiwCEaxSEp2iAeteqUJ,https://api.spotify.com/v1/audio-analysis/7FYbiwCEaxSEp2iAeteqUJ,1065560,4
0.336,0.11,11,-19.231,1,0.0444,0.951,0.935,0.11,0.0389,72.343,audio_features,7pes8uQmsmsHtFiG1eFsJM,spotify:track:7pes8uQmsmsHtFiG1eFsJM,https://api.spotify.com/v1/tracks/7pes8uQmsmsHtFiG1eFsJM,https://api.spotify.com/v1/audio-analysis/7pes8uQmsmsHtFiG1eFsJM,1313971,4
0.101,0.204,8,-13.206,1,0.045,0.96,0.923,0.141,0.0304,80.029,audio_features,2rEEQZzotPv8knXJxJBEkA,spotify:track:2rEEQZzotPv8knXJxJBEkA,https://api.spotify.com/v1/tracks/2rEEQZzotPv8knXJxJBEkA,https://api.spotify.com/v1/audio-analysis/2rEEQZzotPv8knXJxJBEkA,1214484,3
0.326,0.211,9,-20.972,0,0.0563,0.862,0.663,0.566,0.0387,174.002,audio_features,1IGvw7GVq2woXl9KgGEqUp,spotify:track:1IGvw7GVq2woXl9KgGEqUp,https://api.spotify.com/v1/tracks/1IGvw7GVq2woXl9KgGEqUp,https://api.spotify.com/v1/audio-analysis/1IGvw7GVq2woXl9KgGEqUp,1209816,3
0.172,0.124,8,-21.048,1,0.0333,0.958,0.97,0.283,0.0394,123.85,audio_features,6kpoN7Z1mahkMePKztQdHt,spotify:track:6kpoN7Z1mahkMePKztQdHt,https://api.spotify.com/v1/tracks/6kpoN7Z1mahkMePKztQdHt,https://api.spotify.com/v1/audio-analysis/6kpoN7Z1mahkMePKztQdHt,1052000,3
0.116,0.18,10,-19.336,1,0.0315,0.92,0.944,0.103,0.0353,87.828,audio_features,1sWNTVYnz0xbo3AWtBuM2m,spotify:track:1sWNTVYnz0xbo3AWtBuM2m,https://api.spotify.com/v1/tracks/1sWNTVYnz0xbo3AWtBuM2m,https://api.spotify.com/v1/audio-analysis/1sWNTVYnz0xbo3AWtBuM2m,1493200,4
0.16,0.265,8,-13.162,0,0.0391,0.264,0.652,0.355,0.0329,130.34,audio_features,6YRpvEm2FtO0blsPJmogkU,spotify:track:6YRpvEm2FtO0blsPJmogkU,https://api.spotify.com/v1/tracks/6YRpvEm2FtO0blsPJmogkU,https://api.spotify.com/v1/audio-analysis/6YRpvEm2FtO0blsPJmogkU,985000,3
0.155,0.0165,0,-32.041,1,0.0546,0.994,0.959,0.101,0.0341,65.188,audio_features,49QhJ4sBBDgQk8RaWMV2Yn,spotify:track:49QhJ4sBBDgQk8RaWMV2Yn,https://api.spotify.com/v1/tracks/49QhJ4sBBDgQk8RaWMV2Yn,https://api.spotify.com/v1/audio-analysis/49QhJ4sBBDgQk8RaWMV2Yn,1810827,3
0.309,0.336,2,-17.781,0,0.0454,0.954,0.924,0.0731,0.389,77.524,audio_features,0Ce9hfvldAnHBD4wN8JrVk,spotify:track:0Ce9hfvldAnHBD4wN8JrVk,https://api.spotify.com/v1/tracks/0Ce9hfvldAnHBD4wN8JrVk,https://api.spotify.com/v1/audio-analysis/0Ce9hfvldAnHBD4wN8JrVk,1444893,4
0.147,0.0204,2,-33.459,1,0.0379,0.982,0.978,0.0857,0.0352,139.112,audio_features,77spglhDyLyFjoV7kjzhOS,spotify:track:77spglhDyLyFjoV7kjzhOS,https://api.spotify.com/v1/tracks/77spglhDyLyFjoV7kjzhOS,https://api.spotify.com/v1/audio-analysis/77spglhDyLyFjoV7kjzhOS,1105936,3
0.619,0.58,9,-9.088,1,0.0427,0.162,0.902,0.12,0.355,130.483,audio_features,368CxNdEb0L2FsZemKsAvE,spotify:track:368CxNdEb0L2FsZemKsAvE,https://api.spotify.com/v1/tracks/368CxNdEb0L2FsZemKsAvE,https://api.spotify.com/v1/audio-analysis/368CxNdEb0L2FsZemKsAvE,1246310,4
0.161,0.324,6,-16.821,1,0.0453,0.697,0.888,0.0996,0.114,81.716,audio_features,2Q5NRptvgxkvMkPlhOQJve,spotify:track:2Q5NRptvgxkvMkPlhOQJve,https://api.spotify.com/v1/tracks/2Q5NRptvgxkvMkPlhOQJve,https://api.spotify.com/v1/audio-analysis/2Q5NRptvgxkvMkPlhOQJve,1186398,4
0.26,0.00397,2,-31.095,1,0.0406,0.982,0.913,0.102,0.0368,82.862,audio_features,3bCmDqflFBHijgJfvtqev5,spotify:track:3bCmDqflFBHijgJfvtqev5,https://api.spotify.com/v1/tracks/3bCmDqflFBHijgJfvtqev5,https://api.spotify.com/v1/audio-analysis/3bCmDqflFBHijgJfvtqev5,1041520,4
0.239,0.154,10,-22.355,1,0.0338,0.856,0.914,0.0935,0.176,136.96,audio_features,0EiW7uVV0szH089yAUf5xX,spotify:track:0EiW7uVV0szH089yAUf5xX,https://api.spotify.com/v1/tracks/0EiW7uVV0szH089yAUf5xX,https://api.spotify.com/v1/audio-analysis/0EiW7uVV0szH089yAUf5xX,702147,4
0.241,0.665,0,-16.037,0,0.128,0.741,0.843,0.381,0.0397,124.422,audio_features,3OtCjXOx1v2GEEDtxmmXWA,spotify:track:3OtCjXOx1v2GEEDtxmmXWA,https://api.spotify.com/v1/tracks/3OtCjXOx1v2GEEDtxmmXWA,https://api.spotify.com/v1/audio-analysis/3OtCjXOx1v2GEEDtxmmXWA,1087000,4
0.144,0.108,5,-18.345,1,0.0406,0.28,0.841,0.0499,0.0319,137.951,audio_features,2Zqa8Gff5YFuOgtkjL0cOR,spotify:track:2Zqa8Gff5YFuOgtkjL0cOR,https://api.spotify.com/v1/tracks/2Zqa8Gff5YFuOgtkjL0cOR,https://api.spotify.com/v1/audio-analysis/2Zqa8Gff5YFuOgtkjL0cOR,4779227,4
0.202,0.265,0,-24.304,1,0.0473,0.9,0.916,0.0934,0.0607,100.161,audio_features,7pgfhfZd9QMeVNXUN5QlZS,spotify:track:7pgfhfZd9QMeVNXUN5QlZS,https://api.spotify.com/v1/tracks/7pgfhfZd9QMeVNXUN5QlZS,https://api.spotify.com/v1/audio-analysis/7pgfhfZd9QMeVNXUN5QlZS,1095307,4
0.146,0.232,4,-19.42,0,0.0474,0.989,0.95,0.295,0.0395,85.11,audio_features,5Hk5ZRdIoxtTBzGyD5lZ8P,spotify:track:5Hk5ZRdIoxtTBzGyD5lZ8P,https://api.spotify.com/v1/tracks/5Hk5ZRdIoxtTBzGyD5lZ8P,https://api.spotify.com/v1/audio-analysis/5Hk5ZRdIoxtTBzGyD5lZ8P,985758,4
